origin,treatment,day,bleach,bleachln,bleachsqrt
int,intint,1,32.62111861,3.484959889,5.711490052
int,intint,3,75.47965245,4.323863116,8.68790265
int,intint,5,59.35414786,4.083522007,7.704164319
int,intint,7,47.30111973,3.856533968,6.87758095
int,intint,9,46.67940768,3.843303118,6.832232994
int,intint,11,42.91068762,3.759120924,6.550624979
int,intint,13,37.55145246,3.625712058,6.127923993
int,intint,1,15.974125,2.770970226,3.996764316
int,intint,3,59.8720149,4.092209199,7.737700879
int,intint,5,48.15502605,3.874425516,6.939382253
int,intint,7,33.32292157,3.506245496,5.772600936
int,intint,9,36.76650634,3.604587277,6.063539094
int,intint,11,38.07630085,3.639592064,6.170599716
int,intint,13,32.06515955,3.467770068,5.662610666
int,intint,1,17.706375,2.873924744,4.207894367
int,intint,3,145.3615892,4.979224357,12.0565994
int,intint,5,58.99628899,4.077474543,7.680904178
int,intint,7,61.23063303,4.114647604,7.825000513
int,intint,9,61.91202556,4.125714435,7.868419508
int,intint,11,49.06599453,3.893166219,7.004712309
int,intint,13,31.75378138,3.458011817,5.635049368
int,intint,1,36.1741093,3.58834365,6.014491608
int,intint,3,35.17594952,3.560362597,5.93093159
int,intint,5,38.96142499,3.662572054,6.241908762
int,intint,7,38.92137174,3.661543502,6.238699523
int,intint,9,NA,NA,NA
int,intint,11,NA,NA,NA
int,intint,13,NA,NA,NA
int,intint,1,38.04154666,3.638678896,6.167782961
int,intint,3,46.88258098,3.847646199,6.847085583
int,intint,5,44.44451111,3.79424147,6.666671667
int,intint,7,44.4362753,3.794056147,6.666053953
int,intint,9,NA,NA,NA
int,intint,11,NA,NA,NA
int,intint,13,NA,NA,NA
int,intint,1,31.63723312,3.45433469,5.624698491
int,intint,3,39.60735935,3.679014943,6.293437801
int,intint,5,NA,NA,NA
int,intint,7,26.65692325,3.283048901,5.163034306
int,intint,9,NA,NA,NA
int,intint,11,NA,NA,NA
int,intint,13,NA,NA,NA
int,intsub,1,100.2808151,4.607974401,10.01403091
int,intsub,3,NA,NA,NA
int,intsub,5,64.89235869,4.172729877,8.055579352
int,intsub,7,64.09703846,4.160398161,8.006062607
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
int,intsub,1,49.98064703,3.911635871,7.069699218
int,intsub,3,NA,NA,NA
int,intsub,5,NA,NA,NA
int,intsub,7,38.71060731,3.656113653,6.221784897
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
int,intsub,1,98.43607252,4.589407328,9.921495478
int,intsub,3,NA,NA,NA
int,intsub,5,NA,NA,NA
int,intsub,7,71.87298906,4.27490052,8.477793879
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
int,intsub,1,44.50404968,3.795580189,6.671135562
int,intsub,3,54.56678558,3.999425375,7.386933435
int,intsub,5,NA,NA,NA
int,intsub,7,NA,NA,NA
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
int,intsub,1,51.47566353,3.941109143,7.174654245
int,intsub,3,62.50589115,4.135260811,7.906066731
int,intsub,5,NA,NA,NA
int,intsub,7,NA,NA,NA
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
int,intsub,1,51.80752788,3.947535465,7.197744638
int,intsub,3,50.74588816,3.926830593,7.123614824
int,intsub,5,NA,NA,NA
int,intsub,7,NA,NA,NA
int,intsub,9,NA,NA,NA
int,intsub,11,NA,NA,NA
int,intsub,13,NA,NA,NA
sub,subint,1,16.642625,2.811967175,4.079537351
sub,subint,3,83.4827629,4.424640178,9.13689022
sub,subint,5,107.1493484,4.674223641,10.35129694
sub,subint,7,96.79515652,4.572596957,9.838452954
sub,subint,9,102.749948,4.632298347,10.1365649
sub,subint,11,79.6017538,4.377036125,8.921981495
sub,subint,13,80.2841569,4.385572303,8.960142683
sub,subint,1,21.915875,3.08721126,4.681439415
sub,subint,3,65.97863967,4.189331048,8.122723661
sub,subint,5,84.81018553,4.440415648,9.209244569
sub,subint,7,55.45561992,4.01558306,7.446853021
sub,subint,9,79.74957613,4.378891427,8.930261818
sub,subint,11,88.29543632,4.480688422,9.396565134
sub,subint,13,61.85635298,4.124814809,7.86488099
sub,subint,1,38.19323769,3.642658476,6.180067774
sub,subint,3,70.58097157,4.256760584,8.401248215
sub,subint,5,113.0551024,4.727875332,10.6327373
sub,subint,7,100.5718607,4.610872504,10.02855227
sub,subint,9,122.2367639,4.805959852,11.05607362
sub,subint,11,110.4537103,4.704596522,10.50969601
sub,subint,13,94.97298046,4.553592435,9.745408173
sub,subint,1,77.652859,4.352248368,8.812085962
sub,subint,3,73.35355535,4.295290974,8.564669016
sub,subint,5,NA,NA,NA
sub,subint,7,51.54391192,3.942434103,7.179408884
sub,subint,9,NA,NA,NA
sub,subint,11,NA,NA,NA
sub,subint,13,NA,NA,NA
sub,subint,1,31.95724252,3.464398838,5.653073723
sub,subint,3,55.20702939,4.011090289,7.430143295
sub,subint,5,65.17221146,4.177033173,8.072930785
sub,subint,7,64.17612745,4.161631295,8.011000403
sub,subint,9,NA,NA,NA
sub,subint,11,NA,NA,NA
sub,subint,13,NA,NA,NA
sub,subint,1,44.08962226,3.786224432,6.640001676
sub,subint,3,88.93314677,4.487884928,9.430437252
sub,subint,5,85.8404735,4.452490614,9.265013411
sub,subint,7,104.4089842,4.648315727,10.21807145
sub,subint,9,NA,NA,NA
sub,subint,11,NA,NA,NA
sub,subint,13,NA,NA,NA
sub,subsub,1,124.1640099,4.821603352,11.14289055
sub,subsub,3,NA,NA,NA
sub,subsub,5,91.36114789,4.51482031,9.558302563
sub,subsub,7,91.63602448,4.517824475,9.572670708
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
sub,subsub,1,124.7029406,4.825934434,11.16704709
sub,subsub,3,NA,NA,NA
sub,subsub,5,106.8344651,4.671280581,10.3360759
sub,subsub,7,92.77687917,4.530197462,9.632075538
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
sub,subsub,1,93.37763,4.536651809,9.663210129
sub,subsub,3,NA,NA,NA
sub,subsub,5,79.38535281,4.374313878,8.909845835
sub,subsub,7,71.83402084,4.274358192,8.475495315
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
sub,subsub,1,55.59361018,4.01806827,7.45611227
sub,subsub,3,72.58627991,4.284775922,8.519758207
sub,subsub,5,NA,NA,NA
sub,subsub,7,NA,NA,NA
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
sub,subsub,1,52.08198113,3.952819037,7.216784681
sub,subsub,3,70.59884699,4.257013813,8.402312003
sub,subsub,5,NA,NA,NA
sub,subsub,7,NA,NA,NA
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
sub,subsub,1,42.57446212,3.751254593,6.52491089
sub,subsub,3,71.66603336,4.272016903,8.465579328
sub,subsub,5,NA,NA,NA
sub,subsub,7,NA,NA,NA
sub,subsub,9,NA,NA,NA
sub,subsub,11,NA,NA,NA
sub,subsub,13,NA,NA,NA
