tree,origin,culture,treatment,survival,su
3,int,sub,intsub,0.7375,0.829361037
21,int,sub,intsub,0.775,0.886715095
22,int,sub,intsub,0.75,0.848062079
24,int,sub,intsub,0.975,1.346721041
39,int,int,intint,0.875,1.065435817
47,int,int,intint,0.975,1.346721041
49,int,int,intint,1,1.570796327
52,int,int,intint,0.9875,1.412517277
54,int,int,intint,0.975,1.346721041
55,int,int,intint,1,1.570796327
58,int,int,intint,0.958333333,1.281109333
59,int,int,intint,1,1.570796327
60,int,int,intint,0.825,0.9702022
2,sub,sub,subsub,0.828571429,0.976551294
18,sub,sub,subsub,0.9,1.119769515
20,sub,sub,subsub,1,1.570796327
23,sub,sub,subsub,0.7875,0.90674205
37,sub,int,subint,0.9875,1.412517277
43,sub,int,subint,0.868055556,1.051272245
44,sub,int,subint,1,1.570796327
45,sub,int,subint,0.9875,1.412517277
50,sub,int,subint,0.9875,1.412517277
51,sub,int,subint,0.875,1.065435817
53,sub,int,subint,0.9875,1.412517277
56,sub,int,subint,0.7375,0.829361037
57,sub,int,subint,0.9625,1.296071929
